AgentName,Role,Episode,StepCount,Reward,AttackAttempts,AttackSuccesses,DefendAttempts,DefendSuccesses,DodgeAttempts,EndTime,Duration,IsDead
Player 1,Defender,1114,515,124.04,35,0,67,0,33,69.76,10.30,False
Player 1,Defender,1118,182,41.69,7,0,16,0,75,69.92,3.64,False
Player 1,Defender,1122,186,26.77,16,0,26,0,64,69.94,3.72,False
Player 1,Defender,1128,0,0.50,0,0,0,0,0,69.96,0.00,False
Player 1,Defender,1132,0,0.50,0,0,0,0,0,70.20,0.00,False
Player 1,Defender,1134,225,50.11,11,0,25,0,90,70.54,4.50,False
Player 1,Defender,1138,238,57.91,8,0,21,0,94,70.68,4.76,False
Player 1,Defender,1142,590,153.81,27,0,77,0,44,70.80,11.80,False
Player 1,Defender,1146,369,77.44,30,0,50,0,47,71.18,7.38,False
Player 1,Defender,1150,1314,278.14,171,2,161,2,15,71.48,26.28,False
Player 1,Defender,1156,0,0.50,0,0,0,0,0,71.82,0.00,False
Player 1,Defender,1158,192,47.72,3,0,18,0,81,71.98,3.84,False
Player 1,Defender,1162,503,122.57,29,0,63,0,75,72.22,10.06,False
Player 1,Defender,1168,0,0.50,0,0,0,0,0,72.24,0.00,False
Player 1,Defender,1172,0,0.50,0,0,0,0,0,72.28,0.00,False
Player 1,Defender,1174,396,82.80,41,0,48,0,24,72.56,7.92,False
Player 1,Defender,1178,153,28.93,9,0,10,0,24,73.00,3.06,False
Player 1,Defender,1182,362,84.64,13,0,43,0,96,73.22,7.24,False
Player 1,Defender,1186,412,104.17,14,0,49,0,10,73.24,8.24,False
Player 1,Defender,1192,0,0.50,0,0,0,0,0,73.46,0.00,False
Player 1,Defender,1194,315,75.37,14,0,37,0,54,74.08,6.30,False
Player 1,Defender,1198,238,56.95,8,0,17,0,23,74.34,4.76,False
Player 1,Defender,1202,705,183.60,37,0,83,0,110,75.02,14.10,False
Player 1,Defender,1206,313,72.29,17,0,29,0,41,75.06,6.26,False
Player 1,Defender,1210,140,25.02,10,0,21,0,49,75.08,2.80,False
Player 1,Defender,1214,322,73.72,15,0,33,0,46,75.08,6.44,False
Player 1,Defender,1218,226,40.21,15,0,22,0,3,75.20,4.52,False
Player 1,Defender,1222,272,66.42,6,0,24,0,24,75.36,5.44,False
Player 1,Defender,1226,502,118.65,36,0,58,0,96,76.02,10.04,False
Player 1,Defender,1230,749,174.89,73,0,87,0,80,76.04,14.98,False
Player 1,Defender,1234,143,29.46,6,0,16,0,70,76.08,2.86,False
Player 1,Defender,1238,349,81.39,19,0,31,0,73,76.22,6.98,False
Player 1,Defender,1242,1581,389.41,136,2,167,1,33,76.26,31.62,False
Player 1,Defender,1246,678,152.73,61,1,81,1,53,76.46,13.56,False
Player 1,Defender,1250,176,35.63,4,0,17,0,47,76.76,3.52,False
Player 1,Defender,1254,233,46.22,21,0,19,0,61,76.90,4.66,False
Player 1,Defender,1260,0,0.50,0,0,0,0,0,77.06,0.00,False
Player 1,Defender,1262,115,19.66,9,0,11,0,13,77.50,2.30,False
Player 1,Defender,1266,398,100.40,13,0,43,0,27,77.52,7.96,False
Player 1,Defender,1270,496,127.39,19,0,49,0,91,77.74,9.92,False
Player 1,Defender,1274,385,83.12,36,0,45,0,10,77.90,7.70,False
Player 1,Defender,1278,484,116.32,39,0,55,0,60,78.04,9.68,False
Player 1,Defender,1282,810,197.65,76,1,79,0,77,78.26,16.20,False
Player 1,Defender,1286,388,96.51,14,0,36,0,12,78.30,7.76,False
Player 1,Defender,1290,429,101.59,22,0,49,0,22,78.34,8.58,False
Player 1,Defender,1296,0,0.50,0,0,0,0,0,78.50,0.00,False
Player 1,Defender,1298,286,62.41,22,0,40,0,70,78.72,5.72,False
Player 1,Defender,1302,614,134.30,73,2,73,0,77,78.76,12.28,False
Player 1,Defender,1306,613,168.16,18,0,59,0,117,78.94,12.26,False
Player 1,Defender,1310,342,72.93,25,0,44,0,70,79.06,6.84,False
Player 1,Defender,1314,686,180.58,26,0,58,0,6,79.20,13.72,False
Player 1,Defender,1318,732,187.49,60,1,63,1,17,79.26,14.64,False
Player 1,Defender,1322,407,91.18,31,0,48,0,100,79.32,8.14,False
Player 1,Defender,1326,281,66.98,14,0,26,0,35,79.70,5.62,False
